"ITEM","CONDITION","DIRECTIONAL","TEMPORAL","VERB","SENTENCE","TYPE","ANSWER1","ANSWER2","LIST"
1,2,"ambiguous","durative","telic","Der Lehrer*ging*über den*Schulhof,*und zwar*zwei Minuten lang,*mit*großen Schritten.","item","ja","nein",1
2,6,"telic","durative","telic","Der Ingenieur*ging*zur*Großbaustelle,*und zwar*zwanzig Minuten lang,*mit*höchster Konzentration.","item","ja","nein",1
3,5,"telic","durative","atelic","Der Mann*spazierte*zum*Bahnhofsvorplatz,*und zwar*eine Minute lang,*bei*kaltem Nieselregen.","item","ja","nein",1
4,4,"ambiguous","completive","telic","Der Rentner*ging*über den*Friedhof,*und zwar*in zwölf Minuten,*in Gedanken*versunken.","item","ja","nein",1
5,3,"ambiguous","completive","atelic","Die Blattlaus*wanderte*über das*Blütenblatt,*und zwar*in dreißig Sekunden,*unter Beobachtung*des Forschers.","item","ja","nein",1
6,7,"telic","completive","atelic","Der Krebs*wanderte*zum*Korallenriff,*und zwar*in einer halben Stunde,*bei*Ebbe.","item","ja","nein",1
7,8,"telic","completive","telic","Der Troll*kletterte*zur*Brücke,*und zwar*in acht Minuten,*um den Schatz*zu verstecken.","item","ja","nein",1
8,1,"ambiguous","durative","atelic","Der Tourist*wanderte*über die*Hochebene,*und zwar*zwei Stunden lang,*mit*großer Begeisterung.","item","ja","nein",1
9,2,"ambiguous","durative","telic","Der Jugendliche*raste*über den*Marktplatz,*und zwar*vierzig Sekunden lang,*auf der Suche*nach seiner Freundin.","item","ja","nein",1
10,6,"telic","durative","telic","Der Rennfahrer*raste*zur*Rennstrecke,*und zwar*sieben Minuten lang,*unter Beobachtung*der Fans.","item","ja","nein",1
11,5,"telic","durative","atelic","Der Vertreter*schlenderte*zum*Messegelände,*und zwar*dreizehn Minuten lang,*bei*schlechtem Wetter.","item","ja","nein",1
12,4,"ambiguous","completive","telic","Der Händler*raste*über den*Flohmarkt,*und zwar*in zehn Minuten,*um Schnäppchen*zu ergattern.","item","ja","nein",1
13,3,"ambiguous","completive","atelic","Der Trainer*lief*über den*Sportplatz,*und zwar*in zwanzig Sekunden,*mit*voller Motivation.","item","ja","nein",1
14,7,"telic","completive","atelic","Der Professor*lief*zum*Brechtbau,*und zwar*in fünf Minuten,*um einen Vortrag*zu halten.","item","ja","nein",1
15,8,"telic","completive","telic","Die Ratte*rannte*zum*Schiff,*und zwar*in neun Minuten,*ohne den Kater*zu wecken.","item","ja","nein",1
16,1,"ambiguous","durative","atelic","Der Junge*lief*über den*Spielplatz,*und zwar*drei Minuten lang,*um seinen Freund*zu finden.","item","ja","nein",1
17,2,"ambiguous","durative","telic","Die Möwe*flog*über den*Hafen,*und zwar*sieben Minuten lang,*auf Suche*nach Futter.","item","ja","nein",1
18,6,"telic","durative","telic","Der Kormoran*flog*zur*Insel,*und zwar*zehn Minuten lang,*bei*brütender Hitze.","item","ja","nein",1
19,5,"telic","durative","atelic","Der Storch*segelte*zum*Sumpf,*und zwar*vierzig Minuten lang,*mit*knurrendem Magen.","item","ja","nein",1
20,4,"ambiguous","completive","telic","Die Crew*flog*über das*Mittelmeer,*und zwar*in zwei Stunden,*bei*Seenebel.","item","ja","nein",1
21,3,"ambiguous","completive","atelic","Der Cowboy*ritt*über die*Prärie,*und zwar*in fünf Tagen,*in*glühender Hitze.","item","ja","nein",1
22,7,"telic","completive","atelic","Der Offizier*ritt*zum*Schlachtfeld,*und zwar*in drei Stunden,*in*eisiger Kälte.","item","ja","nein",1
23,8,"telic","completive","telic","Der Bauer*fuhr*zum*Stoppelfeld,*und zwar*in fünfzehn Minuten,*bei*strahlendem Sonnenschein.","item","ja","nein",1
24,1,"ambiguous","durative","atelic","Der Knecht*ritt*über die*Weide,*und zwar*drei Minuten lang,*auf Befehl*seines Herrn.","item","ja","nein",1
25,2,"ambiguous","durative","telic","Der Gefreite*marschierte*über den*Kasernenplatz,*und zwar*sieben Minuten lang,*auf Befehl*vom Leutnant.","item","ja","nein",1
26,6,"telic","durative","telic","Der Pfadfinder*marschierte*zum*Zeltplatz,*und zwar*fünf Minuten lang,*unter der Anleitung*des Rangers.","item","ja","nein",1
27,5,"telic","durative","atelic","Der Ehemann*schlich*zum*Hinterhof,*und zwar*zwei Minuten lang,*unter der Beobachtung*seiner Frau.","item","ja","nein",1
28,4,"ambiguous","completive","telic","Der Soldat*marschierte*über den*Festplatz,*und zwar*in zwölf Minuten,*mit*konzentriertem Blick.","item","ja","nein",1
29,3,"ambiguous","completive","atelic","Das Kind*radelte*über den*Tunnel,*und zwar*in drei Minuten,*unter der Anleitung*der Sportlehrerin.","item","ja","nein",1
30,7,"telic","completive","atelic","Der Clown*radelte*über zur*Arena,*und zwar*in vier Minuten,*als Teil*seines Auftritts.","item","ja","nein",1
31,8,"telic","completive","telic","Der Schauspieler*kroch*zur*Bühne,*und zwar*in vier Minuten,*unter der Anleitung*des Regisseurs.","item","ja","nein",1
